hash,source,init,data,
27F75B7F,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActWpOnSlingerShot",
87D25575,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActWpOnSlingerShotReload",
26402433,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActWpOnSlingerEmpty",
7B20DE75,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActWpOnClawShoot",
D9C47626,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActKijinSlingerAimPose",
1E5C4E11,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActKijinSlingerAimPoseEnd",
9CF5B88F,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActKijinWpOnClawShoot",
967C33D,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cKijinSlingerShoot",
5B0D38A8,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActKijinWpOnSlingerEmpty",
B8266278,CRC2,FFFFFFFF,"nHmAction::Wp03Bust::cActWpOnSlingerAim",
C0EAFDE8,CRC2,FFFFFFFF,"nHmAction::Wp03Bust::cActWpOnSlingerShot",
760850DF,CRC2,FFFFFFFF,"nHmAction::Wp03Bust::cActWpOnSlingerShotReload",
48CC3F72,CRC2,FFFFFFFF,"nHmAction::Wp03Bust::cActWpOnSlingerEmpty",
FA05BB52,CRC2,FFFFFFFF,"nHmAction::Wp03Bust::cActWpOnClawShoot",
76769ED0,CRC2,FFFFFFFF,"nHmAction::Wp04Bust::cActWpOnSlingerAim",
182986CE,CRC2,FFFFFFFF,"nHmAction::Wp04Bust::cActWpOnSlingerShot",
CE9D424A,CRC2,FFFFFFFF,"nHmAction::Wp04Bust::cActWpOnSlingerShotReload",
9A1979F4,CRC2,FFFFFFFF,"nHmAction::Wp04Bust::cActWpOnSlingerEmpty",
CB1D8C25,CRC2,FFFFFFFF,"nHmAction::Wp04Bust::cActWpOnClawShoot",
D3FD0EDE,CRC2,FFFFFFFF,"nHmAction::Wp05Bust::cActWpOnSlingerAim",
FF342059,CRC2,FFFFFFFF,"nHmAction::Wp05Bust::cActWpOnSlingerShot",
3F4747E0,CRC2,FFFFFFFF,"nHmAction::Wp05Bust::cActWpOnSlingerShotReload",
F49562B5,CRC2,FFFFFFFF,"nHmAction::Wp05Bust::cActWpOnSlingerEmpty",
4A38E902,CRC2,FFFFFFFF,"nHmAction::Wp05Bust::cActWpOnClawShoot",
E610B88D,CRC2,FFFFFFFF,"nHmAction::Wp06Bust::cActWpOnSlingerAim",
D63CDA1,CRC2,FFFFFFFF,"nHmAction::Wp06Bust::cActWpOnSlingerShot",
F6584F5F,CRC2,FFFFFFFF,"nHmAction::Wp06Bust::cActWpOnSlingerShotReload",
47014F76,CRC2,FFFFFFFF,"nHmAction::Wp06Bust::cActWpOnSlingerEmpty",
1226402A,CRC2,FFFFFFFF,"nHmAction::Wp06Bust::cActWpOnClawShoot",
B35274EF,CRC2,FFFFFFFF,"nHmAction::Wp06Bust::cActWpOnGuardSlingerEmpty",
439B2883,CRC2,FFFFFFFF,"nHmAction::Wp07Bust::cActWpOnSlingerAim",
